FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_etablissement,adresse_etablissement,journee_ouverture,activite_categorie,geometry,agregation
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4477,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Didaure,Auto-école Nouvelle,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1381004717211132 8.9831547852801),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4478,Centrale,Blitta,Blitta 1,Pagala-Gare,Pagala Gare,Auto-école la Prudence Pagala Gare,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.9880383333333334 8.177550000000002),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4479,Centrale,Blitta,Blitta 1,Blitta,Blitta Dépôt,Auto-école la Nouvelle Blitta,BP 09 Blitta,"{mardi,mercredi,jeudi,vendredi,samedi,dimanche}",{Auto-école},POINT (0.9829727215157458 8.328168710609889),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447a,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua (grand Marché),Auto-école Pugnus Dei Sotouboua,70158479/96857921,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.9849933333333334 8.557409999999999),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447b,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua (kpétéyo),Auto-école le leader Sotouboua,90788065,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.9874599999999999 8.557846666666666),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447c,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua (lawaye),Auto-école les Intègres,22466479/91169631,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.9788183333333333 8.564878333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447d,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua (zongo),Auto-école la Référence Sotouboua,90770970,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.9757658000000002 8.5606435),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447e,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Adeta,Auto-école,Nsp,Nsp,{Auto-école},POINT (0.7296441082691845 7.1305693779212325),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447f,Centrale,Tchamba,Tchamba 1,Tchamba,Wassouwa,Auto-école la Nouvelle Wassouwa,90981828/98393151,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.4229366666666672 9.026503333333334),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4480,Centrale,Tchamba,Tchamba 3,Kaboli,Djama,Auto-école la Nouvelle Djama,90981828/98393151,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.586553333333333 8.751013333333331),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4481,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Akamade,Auto-école à Dieu la Gloire Akamadé,Nsp,"{lundi,mardi,mercredi,jeudi,samedi}",{Auto-école},POINT (1.1166703303761731 8.989919613829478),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4482,Maritime,Golfe,Golfe 3,Bè-Ouest,Lomegan,Auto-école l'Identite,Nsp,Nsp,{Auto-école},POINT (1.2054697306598223 6.18199980788579),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4483,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Tchawanda,Auto-école Mawena,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1330576606949863 8.987355843236807),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4484,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Komah 2,Auto-école Sourou,Nsp,Nsp,{Auto-école},POINT (1.1440829024927996 8.977114560798848),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4485,Maritime,Golfe,Golfe 6,Baguida,Kpogan,Auto-école Luli,Agodeké,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.3694466666666671 6.1867),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4486,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Auto-école Tu es Mon Berger,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.349706666666667 6.1797683333333335),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4487,Maritime,Golfe,Golfe 6,Baguida,Avekpozo,Auto-école Damaris Avépozo,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.3442716666666674 6.169588333333333),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4488,Maritime,Golfe,Golfe 6,Baguida,Baguida,Auto-école Shalom Paix,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.307971666666667 6.158628333333334),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4489,Maritime,Golfe,Golfe 6,Baguida,Avepozo Mawuvi,Auto-école  Shalom,Avepozo Mawuvi,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.3381516666666669 6.177006666666667),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_448a,Maritime,Golfe,Golfe 6,Baguida,Agodeke,Auto-école le Rocher,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.3668733333333336 6.1765516666666676),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_448b,Maritime,Golfe,Golfe 6,Baguida,Baguida,Auto-école Bon Berger,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.3267888098403935 6.171855029152451),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_448c,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Agoe Zongo,Auto-école le Savoir,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2101729000000003 6.270193599999999),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_448d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Zongo,Auto-école Nzambe-Nzambe Agoè,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2085116666666667 6.251951666666669),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_448e,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Zilidji,Auto-école la Vie,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1992118 6.2589273),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_448f,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Haoussa Zongo,Auto-école Alito École,Nsp,Nsp,{Auto-école},POINT (1.2062733333333333 6.255273333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4490,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Demakpoe,Centre D'Instruction Routiere Togo,16 BP 582,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1943683333333324 6.243238333333332),Néant
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4491,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Telessou,Auto-école la Sainte Etoile,Nsp,Nsp,{Auto-école},POINT (1.182878333333334 6.218123333333334),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4492,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Gbonve,Auto-école MKAF Togo,01 BP 1676,Nsp,{Auto-école},POINT (1.1875208076772852 6.21689412969734),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4493,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Kleve,Auto-école du Golfe Klévé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.198125836166056 6.2220870576389915),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4494,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sorade,Auto-école Oumar,Nsp,Nsp,{Auto-école},POINT (1.2114981964243627 6.232188129077177),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4495,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Atchanve,Auto-école Korgo,Nsp,Nsp,{Auto-école},POINT (1.214936433860318 6.224957843022701),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4496,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Anokoui,Auto-école le Courage,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1799283947236716 6.243413469411037),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4497,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adeticope,Auto-école du Golfe Adétikopé,90036506/90159906,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2183549999999999 6.325763333333334),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4498,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Telessou,Auto-école les Elus de Dieu,Téléssou,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1750101774679038 6.225657994972941),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4499,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Anome,Auto-école Sous les Ailes de Dieu Anomé,Anome,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1847008123261473 6.215990873100693),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_449a,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Carrefour Bleu,Auto-école du Golfe Carefour bleu,Carrefour Bleu,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2052416666666668 6.225473333333334),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_449b,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Atchanve,Auto-école Sissonne,Atchanvé,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2111716666666668 6.229001666666666),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_449c,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sorade,Auto-école Caba,Sorade,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2128364567012713 6.230940105142965),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_449d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Adjougba,Auto-école defi Focus,Adjougba,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2220273444157101 6.226362919403873),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_449e,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adewi,Auto-école les Experts,Aucune,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2216147556130292 6.3152280934768354),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_449f,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Amarinta,Auto-école ma Reussite Annexe Amarinta,Nsp,Nsp,{Auto-école},POINT (1.1403716666666663 6.2476216666666655),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44a0,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cacaveli,Auto-école TNI (Togo Nouvelle Impression) Cacavéli,92648819/97702424,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.199216666666667 6.211294999999999),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44a1,Maritime,Golfe,Golfe 5,Aflao-Gakli,Avenou,Auto-école MHJH,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1913633333333327 6.172861666666667),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44a2,Maritime,Golfe,Golfe 5,Aflao-Gakli,Soviepe,Auto-école Baptrans,12 BP 278 Lome,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.1805528107437013 6.177851106070137),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44a3,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbasokpe,Auto-école du Golfe Legbasokpé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1634919181941068 6.260329073759687),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44a4,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sogbossito,Auto-école Winner Sogbossito,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1663251666793775 6.2575615883776035),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44a5,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Vakpossito Telessou,Auto-école St Kotey,90789684/98796009,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1702883333333327 6.217493333333334),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44a6,Maritime,Golfe,Golfe 5,Aflao-Gakli,Djidjolé,Auto-école J.le Rocher,BP S/c3408,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1917650000000002 6.189650000000001),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44a7,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agbalédogan,Auto-école BAMB-SIS Agbalédogan,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1972710786259 6.2015930306613996),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44a8,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedo,Auto-école  Saint Christophe Agbalépédo,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.1964545431925169 6.200091141807959),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44a9,Maritime,Golfe,Golfe 5,Aflao-Gakli,Djidjole,Auto-école le Gold,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.1968700000000008 6.182664999999998),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44aa,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Agoe Telessou,Auto-école ma Reussite Téléssou,90974929/99510494,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.170595456631288 6.2144122192188425),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ab,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Gnamassigan,Auto-école Gnamassigan,Nsp,Nsp,{Auto-école},POINT (1.177750775808559 6.266452865653485),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ac,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,Auto-école la Gracieuse Légbassito,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1497758856224451 6.266675862585643),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ad,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sogbossito,Auto-école le Genie Sogbossito,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1752599999999995 6.251276666666666),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ae,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Vakpossito,Auto-école Abraham Lincoln,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1745693225887075 6.214430782681505),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44af,Maritime,Golfe,Golfe 3,Bè-Ouest,Doumassesse,Auto-école la Liberté Doumasséssé,"Doumassesse, Rue, Lomé ; BP S/c 15BP298","{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2154208808748534 6.163382809299719),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44b0,Maritime,Golfe,Golfe 3,Bè-Ouest,Lomegan,Auto-école Afrique C.A,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2057187052469736 6.184199894810828),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44b1,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin Doumassesse,Auto-école le Retour,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2162033333333337 6.157608333333332),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44b2,Maritime,Golfe,Golfe 3,Bè-Ouest,Agbalepedo,Auto-école CF le leader,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2067283333333338 6.185483333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44b3,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sogbossito,Auto-école B Groupe,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.177406666666667 6.250873333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44b4,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Demakpoe,Auto-école Adjrad_Togo,13 BP 544,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1982482311710527 6.24216359911231),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44b5,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Demakpoe,Auto-école TNI (Togo Nouvelle Impression) Démakpoè,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2016347551628122 6.241847379845974),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44b6,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Assiyeye,Auto-école Winner Assiyéyé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1987866666666673 6.230588333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44b7,Maritime,Golfe,Golfe 3,Bè-Ouest,Soted,Auto-école Basililela Soted,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2206866666666671 6.152381666666667),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44b8,Maritime,Golfe,Golfe 3,Bè-Ouest,Doumassesse,Auto-école la Gracieuse Doumasséssé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.220859012567111 6.164817876690038),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44b9,Maritime,Golfe,Golfe 4,Amoutivé,Ramco,Auto-école Nzambe-Nzambe Ramco,Aucun,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2201200000000005 6.143261666666664),Antenne agréée
