FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_etablissement,adresse_etablissement,journee_ouverture,activite_categorie,geometry,agregation
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4543,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sogbassito,Auto-école Gloire à Dieu Légbassito,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi}",{Auto-école},POINT (1.1731267383815116 6.247622705924113),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4544,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Logopé,Auto-école St Francois,98048999,"{lundi,mardi,mercredi,vendredi,samedi}",{Auto-école},POINT (1.1576513448196448 6.255821814843985),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4545,Kara,Kozah,Kozah 1,Commune De Kara,Fehing,Auto-école le Defi Septemtrion,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",{Auto-école},POINT (1.217915000000001 9.562229999999998),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4546,Kara,Kozah,Kozah 1,Commune De Kara,Ewaou,Auto-école Securite Pour Tous,BP 679,"{lundi,mardi,mercredi,jeudi,vendredi}",{Auto-école},POINT (1.197487640222207 9.54737364568313),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4547,Kara,Assoli,Assoli 1,Bafilo,Kparantaou,Auto-école Bon Courage Kparatao,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi}",{Auto-école},POINT (1.2464165384878731 9.362072719279846),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4548,Kara,Kozah,Kozah 1,Commune De Kara,Andjaoude,Auto-école la Connaissance,Nsp,Nsp,{Auto-école},POINT (1.2079083333333336 9.559028333333336),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4549,Kara,Kozah,Kozah 1,Commune De Kara,Zongo,Auto-école Agbeteo,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1858649999999993 9.545140000000002),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454a,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,Auto-école la Bienvenue,Nsp,"{lundi,mercredi,jeudi,vendredi,dimanche,samedi,mardi}",{Auto-école},POINT (1.2051278936355518 9.556609215759348),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454b,Kara,Kozah,Kozah 1,Commune De Kara,Welade,Auto-école Pugnus Dei Welade,Nsp,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.1934021863481121 9.557288518275392),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454c,Kara,Kozah,Kozah 1,Commune De Kara,Patassoukome,Auto-école les Grands Patassoukomé,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1883199999999998 9.547373333333335),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454d,Kara,Kozah,Kozah 1,Commune De Kara,Ewaou,Auto-école Bon Courage Awaou,BP 292,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1973950000000002 9.545631666666665),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454e,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,Auto-école le Sauveur Vient,BP 147,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.2026316666666665 9.551556666666666),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_454f,Kara,Kozah,Kozah 1,Commune De Kara,Tchalode,Auto-école de la Kozah,Nsp,"{dimanche,samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.19315 9.568231666666666),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4550,Kara,Kozah,Kozah 1,Commune De Kara,Ewoou,Auto-école Sajer,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1914700000000003 9.548641666666667),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4551,Kara,Bassar,Bassar 1,Bassar,Nangbani,Auto-école la Satisfaction,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",{Auto-école},POINT (0.7856883333333328 9.272320000000002),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4552,Kara,Bassar,Bassar 1,Bassar,Biakpabe,Auto-école les Intégrés,Nsp,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (0.7799816666666667 9.273484999999996),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4553,Maritime,Lacs,Lacs 3,Gbodjomé,Agbodan,Auto-école Saint Jules Agbodan,99915996,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.4165491173625513 6.206722459544289),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4554,Maritime,Lacs,Lacs 3,Gbodjomé,Agbavi,Auto-école Damaris Agbavi,90047716,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.3947366666666672 6.189736666666666),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4555,Maritime,Lacs,Lacs 4,Anfoin,Afoin Kpota,Auto-école le Berger,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.6101466666666668 6.327245),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4556,Maritime,Zio,Zio 1,Tsévié,Agbalipe,Auto-école Merciful God,BP 78 Tsévié,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.212641027950797 6.4318829525443215),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4557,Maritime,Lacs,Lacs 2,Aklakou,Aklakou Noblokome,Le Renouveau Centre de Formation Et d Éducation Routiere Aklakou,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.7121201915079372 6.338482624851224),Néant
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4558,Maritime,Vo,Vo 1,Vogan,Yesuvito,Auto-école Domino,99463827/91825854/98564654,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.529565847662365 6.333567118068137),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4559,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Agbleta,Auto-école Musai Togo,98254049 / 99044122,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",{Auto-école},POINT (1.6252950000000002 6.493359999999999),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_455a,Maritime,Vo,Vo 1,Vogan,Agbemavo,Auto-école Saint Kizito Agbemavo,98840953 Vogan,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.5232577074397766 6.340452162204777),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_455b,Maritime,Lacs,Lacs 1,Canton D’Aneho,Amadoto,Auto-école Levireste,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.6138872290738617 6.23845617168974),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_455c,Maritime,Yoto,Yoto 1,Tabligbo,Cite A,Auto-école Amea,Cite A -togo,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.4962366666666669 6.595243333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_455d,Maritime,Vo,Vo 1,Vogan,Lom Nava,Auto-école  Nazareth,22485190/99553240/93737888,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.5365049999999998 6.332456666666667),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_455e,Plateaux,Wawa,Wawa 1,Badou,Badou Ville,Auto-école Radji Badou,90136290,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.6071514324499167 7.585032065377712),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_455f,Plateaux,Wawa,Wawa 1,Badou,Badou Ville,Auto-école le Succès Badou,90683042,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (0.6061234607489381 7.586761986776104),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4560,Plateaux,Ogou,Ogou 1,Djama,Agbonou Gare,Auto-école Radji Agbonou Gare,BP: 437,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1555658408637117 7.514350263949505),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4561,Plateaux,Amou,Amou 2,Amou-Oblo,Amou Oblo,Auto-école El Dorado,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.8667490235678944 7.386249664445304),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4562,Plateaux,Anié,Anié 1,Anié,Anie,Auto-école Alhamoudou,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1934433333333334 7.776311666666667),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4563,Plateaux,Agou,Agou 1,Agou-Tavié,Gadjepe,Auto-école le Permis Gadjépé,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.7178183333333347 6.846978333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4564,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Totsoanyi,Auto-école Dieu Seul T'aime,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.6312916958990441 6.9087690649124065),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4565,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Noumetukondzi,Auto-école Ouro,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.6355235702839034 6.9079452875345195),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4566,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Adeta,Auto-école Radji Adéta,Adeta,"{samedi,vendredi,jeudi,mercredi,mardi}",{Auto-école},POINT (0.7317775012483716 7.121065097049891),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4567,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime,Auto-école Gloire à Dieu Kpalimé,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.6350270646918732 6.899704692673049),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4568,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Lantaba,Auto-école Prospera,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.0080033333333343 11.099995000000002),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4569,Savanes,Tône,Tône 1,Dapaong,Tantigou,Auto-école Yendam,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.1955800000000011 10.86337),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_456a,Savanes,Tône,Tône 1,Dapaong,Timgbal,Auto-école Ak Prosper Tin-Salingue Timgdal,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.2034469523461212 10.87591216056162),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_456b,Savanes,Tône,Tône 1,Dapaong,Boumonga-ba,Auto-école le Défi,92101984,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.2114283333333338 10.856644999999999),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_456c,Savanes,Tône,Tône 1,Dapaong,Orkoiré,Auto-école Prosper AK,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.2104450000000004 10.85675),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_456d,Savanes,Tône,Tône 1,Dapaong,Kombonloaga,Auto-école les Grands Kombonloaga,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.1995183333333333 10.869764999999997),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_456e,Savanes,Oti,Oti 1,Mango,Sangbana,Auto-école Prosperak Annex Mango,90857026,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.4757084420586872 10.353916434151662),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_456f,Savanes,Oti,Oti 1,Mango,Gono,Auto-école Sawari,A Côté de L'église Catholique Mango,"{lundi,mardi,mercredi,jeudi,vendredi}",{Auto-école},POINT (0.4747766666666678 10.354496666666666),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4570,Savanes,Oti,Oti 2,Barkoissi,Chef Canton,Auto-école la delivrance,93237514,"{vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (0.3030199436234801 10.553197156780227),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4571,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkanssé Langtaba ,Auto-école AK Prospere Tin-Salingue Cinkanssé,90 57 37 37,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",{Auto-école},POINT (0.0080716666666677 11.099934999999999),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4572,Maritime,Golfe,Golfe 2,Bè-Centre,Hedzranawoe,Auto-école Audacieux,Néant,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.2445279304028796 6.191422924963468),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4573,Maritime,Golfe,Golfe 5,Aflao-Gakli,Amadahome,Auto-école Ava Togo Amadahomé,Néant,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1508523991894193 6.20347046286229),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4574,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoè Fiovi,Auto-école Blessing,08Bp 81065,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1912042550545003 6.239286006144919),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4575,Maritime,Golfe,Golfe 2,Bè-Centre,Attiegou,Auto-école ESCA (Ecole Supérieure de Conduite Automobile),BP 60257 lomé Togo,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.2629522056674702 6.196486184784989),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4576,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cacaveli,Auto-école Essofa,Néant,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1978463240060298 6.209808656520399),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4577,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin Wuiti,Auto-école Forrever conduite,Néant,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.2301080993372802 6.16743063612345),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4578,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Demakpoe,Auto-école la Fierté,"Sise à agoe Demakpoe sur la voie d'assiyeye échangeur peu avant les rails côté ouest, Lome","{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.2023910339040302 6.2375439855132795),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4579,Plateaux,Ogou,Ogou 1,Gnagna,Atakpame,Auto-école le Succès Atakpamé,70246230,"{lundi,mardi,mercredi,jeudi,vendredi}",{Auto-école},POINT (1.15530114700029 7.498069437651582),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_457a,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Houmbi,Auto-école le Paraclet Houmbi,Sise à agir koffi Manou en face du bar palais russ,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.22775833333333 6.21967),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_457b,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin Wuti ,Auto-école le Salut,Sise en face du lycée de tokoin entre l'hôte eda oba et la dpj lome,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.2311366666666703 6.15257166666667),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_457c,Maritime,Golfe,Golfe 3,Bè-Ouest,Forrever,Auto-école L'Itineraire Annexe Forever,"Sise tokoin forrever, derrière le siège du plan togo","{lundi,mardi,jeudi,mercredi,vendredi,samedi}",{Auto-école},POINT (1.2286209403630899 6.160478995655309),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_457d,Maritime,Golfe,Golfe 1,Bè-Est,Bè Château,Auto-école Pasteur,"Rue de l'Entente, ex rue de l'Ocam face hôtel de la Paix, Bè château","{lundi,mardi,mercredi,jeudi,vendredi}",{Auto-école},POINT (1.2469795988164898 6.133015955516349),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_457e,Maritime,Golfe,Golfe 5,Aflao-Gakli,Avedji Wessome,Auto-école Romana's,"Non loin des rails face pharmacie Victoir, st AVEDJI wessome","{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1711899759907505 6.192601577802109),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_457f,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidoadin,Auto-école Saint Elie,"Sise à adidoadin, non loin du carrefour bodjona,en face de la direction sanol","{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1891524000000002 6.205183299999999),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4580,Maritime,Golfe,Golfe 4,Amoutivé,Quartier Des Étoiles,Auto-école Saint Imamiah quartier des Etoiles,68 rue 52 Ayatome 90710127,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.2208404398979298 6.132244552930801),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4581,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Auto-école Saint Jules Avépozo,Avepozo,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.3417266666666705 6.168526666666669),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4582,Maritime,Golfe,Golfe 1,Bè-Est,Adakpamé,Auto-école Saint Kizito Adakpamé,Néant,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.2679143702368199 6.163539702174259),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4583,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Avédji,Auto-école Saint Max,Néant,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.1815012195208312 6.207599322777879),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4584,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidoadin,Auto-école Sous les Ailles de Dieu Adidoadin,Néant,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.1874419400658807 6.20284658592343),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4585,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogomé,Auto-école Zebra Adidogomé,Néant,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.15917832110672 6.191333287455262),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4586,Maritime,Golfe,Golfe 4,Amoutivé,Nyékonakpoè,Auto-école Lobokona Nzambe,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2056839780600226 6.129949759549678),Agréée
